,Pos,FG,FGA,FG_per,3P,3PA,3P_per,2P,2PA,2P_per,eFG_per,FT,FTA,FT_per,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
10080,C,7.837638376383763,15.409594095940957,0.6748339483394834,0.13270848708487043,0.39852398523985233,0.332999999999999,7.753682656826569,15.143911439114392,0.512,0.512,6.005756457564575,8.767527675276751,0.685,2.922509225092251,3.9852398523985237,6.9077490774907755,1.3284132841328413,0.6642066420664207,1.195571955719557,3.321033210332103,4.649446494464945,21.91881918819188
3416,PG,5.651162790697675,11.930232558139537,0.9879069767441859,2.715697674418605,5.232558139534884,0.519,2.9268837209302325,6.6976744186046515,0.437,0.584,2.2336744186046515,3.3488372093023258,0.667,1.0465116279069768,4.186046511627907,5.232558139534884,5.232558139534884,1.255813953488372,0.4186046511627907,2.0930232558139537,3.3488372093023258,16.11627906976744
7330,SF,6.141176470588235,12.494117647058824,0.5145882352941176,0.5876470588235294,1.588235294117647,0.37,5.485658823529412,10.905882352941177,0.503,0.509,1.512,2.1176470588235294,0.714,1.4823529411764707,3.8117647058823527,5.3999999999999995,3.4941176470588236,0.7411764705882353,0.4235294117647059,1.2705882352941176,1.6941176470588235,14.294117647058824
2086,SG,5.684210526315789,13.105263157894736,0.6915789473684194,2.6750526315789402,6.789473684210526,0.393999999999999,3.0694736842105264,6.315789473684211,0.486,0.54,1.32,1.5789473684210527,0.836,0.3157894736842105,4.2631578947368425,4.578947368421052,2.8421052631578947,0.631578947368421,0.3157894736842105,1.4210526315789473,2.3684210526315788,15.315789473684209
7720,SF,6.037974683544303,14.012658227848101,0.489873417721519,1.2124936708860756,3.30379746835443,0.367,4.808278481012659,10.708860759493671,0.449,0.472,4.978481012658228,5.69620253164557,0.874,0.7974683544303797,3.873417721518987,4.670886075949367,2.5063291139240507,0.6835443037974682,0.22784810126582278,1.5949367088607593,2.5063291139240507,18.11392405063291
5938,SF,4.247191011235955,9.707865168539325,0.8676404494382022,1.3679999999999997,3.8426966292134823,0.356,2.7918202247191006,5.865168539325842,0.476,0.499,2.3586067415730336,2.831460674157303,0.833,1.4157303370786516,3.8426966292134823,5.258426966292135,2.2247191011235956,1.2134831460674156,1.0112359550561798,1.8202247191011234,4.853932584269662,12.134831460674157
3109,PG,3.91304347826087,9.195652173913045,0.8080434782608695,1.264304347826087,3.5217391304347827,0.359,2.5362391304347827,5.673913043478261,0.447,0.481,0.900391304347826,1.1739130434782608,0.767,0.782608695652174,3.3260869565217392,4.108695652173914,7.434782608695651,1.956521739130435,0.1956521739130435,1.956521739130435,1.7608695652173914,9.782608695652174
6094,SF,6.851612903225806,12.425806451612903,0.6363870967741925,0.03669677419354839,0.23225806451612904,0.158,6.791806451612904,12.193548387096774,0.557,0.55,3.424180645161285,5.341935483870968,0.640999999999999,2.670967741935484,3.6,6.270967741935484,3.367741935483871,1.6258064516129032,0.3483870967741935,2.903225806451613,3.367741935483871,17.070967741935483
1983,SG,4.788990825688073,12.055045871559633,0.6407339449541268,2.8139449541284396,7.926605504587155,0.355,1.927816513761468,4.293577981651376,0.449,0.503,1.6725137614678895,1.9816513761467887,0.844,0.9908256880733943,2.477064220183486,3.467889908256881,1.81651376146789,0.8256880733944953,0.1651376146788991,0.49541284403669716,2.807339449541284,13.871559633027523
8147,C,4.595744680851063,8.680851063829786,1.3455319148936171,0.08991184248817634,0.5444291394371789,0.16514884302689162,4.574808510638298,8.680851063829786,0.527,0.527,0.9788936170212764,2.2978723404255317,0.426,3.0638297872340425,6.893617021276596,9.957446808510639,1.5319148936170213,0.5106382978723405,1.2765957446808511,2.5531914893617023,5.872340425531915,9.957446808510639
12123,PG,5.451104100946372,13.173501577287066,0.4701577287066246,1.3641388012618296,3.7476340694006307,0.364,4.0415394321766565,9.31230283911672,0.434,0.466,3.7606940063091487,4.201892744479496,0.895,0.5678233438485805,2.498422712933754,3.0662460567823344,8.290220820189274,1.135646687697161,0.11356466876971609,3.520504731861199,2.8391167192429023,16.01261829652997
9151,C,4.991150442477877,10.513274336283187,0.5023008849557522,0.0,0.5444291394371789,0.0,4.983292035398231,10.513274336283187,0.474,0.473,4.545876106194685,6.053097345132744,0.750999999999999,3.504424778761062,7.539823008849558,10.938053097345133,1.0619469026548674,0.5309734513274337,1.2743362831858407,2.6548672566371683,3.6106194690265485,14.442477876106194
4044,SF,3.8980891719745223,8.48407643312102,1.0364331210191084,0.7592101910828026,2.5222929936305736,0.301,3.0882038216560512,5.961783439490446,0.518,0.498,1.142828025477707,1.8343949044585988,0.623,2.0636942675159236,2.5222929936305736,4.585987261146497,0.9171974522292994,0.9171974522292994,0.22929936305732485,1.1464968152866242,3.210191082802548,9.630573248407645
12003,PG,4.536585365853659,9.95121951219512,0.66,1.6513170731707318,3.804878048780488,0.434,2.8334634146341466,6.146341463414634,0.461,0.534,3.0585365853658533,3.6585365853658534,0.836,0.7317073170731707,2.048780487804878,2.780487804878048,5.414634146341464,0.8780487804878048,0.0,2.6341463414634143,2.195121951219512,13.609756097560975
1310,SG,7.295681063122923,17.222591362126245,0.5071096345514949,2.2203986710963455,5.621262458471761,0.395,5.081382059800652,11.601328903654483,0.437999999999999,0.488,2.163348837209299,3.3488372093023253,0.645999999999999,0.4784053156146179,3.4684385382059797,3.9468438538205977,5.142857142857142,1.0764119601328903,0.4784053156146179,2.6312292358803986,2.511627906976744,18.89700996677741
10619,PF,2.805194805194805,7.246753246753247,0.9093506493506495,0.0,0.23376623376623376,0.0,2.8262337662337593,7.012987012987013,0.402999999999999,0.389,2.3142857142857136,2.805194805194805,0.825,1.6363636363636362,5.376623376623376,7.012987012987013,2.103896103896104,1.1688311688311688,0.4675324675324675,1.4025974025974024,3.0389610389610393,7.948051948051948
7764,PG,4.789699570815451,11.433476394849787,0.6412017167381974,0.8601373390557937,2.935622317596566,0.293,3.892017167381966,8.49785407725322,0.457999999999999,0.452999999999999,2.119673819742489,2.6266094420600856,0.807,0.46351931330472096,2.781115879828326,3.0901287553648067,6.643776824034334,1.6995708154506437,0.15450643776824033,2.935622317596566,2.4721030042918453,12.515021459227466
11546,SF,9.55495978552279,16.793565683646115,0.5501340482573727,0.6304343163538874,2.219839142091153,0.284,8.948268096514747,14.573726541554961,0.614,0.589,6.828997319034853,9.458445040214478,0.722,3.764075067024129,6.080428954423592,9.74798927613941,4.053619302949063,1.544235924932976,0.482573726541555,2.9919571045576414,2.509383378016086,26.638069705093837
5989,PG,8.515222482435595,20.57142857142857,0.34819672131147533,0.6668852459016393,2.9508196721311473,0.226,7.8235503512880555,17.620608899297423,0.444,0.429,8.655175644028102,9.779859484777516,0.885,0.42154566744730676,1.939110070257611,2.2763466042154565,6.154566744730679,1.8548009367681497,0.08430913348946135,3.7096018735362994,1.180327868852459,26.304449648711945
2353,C,3.876923076923077,8.307692307692308,1.318153846153846,1.5984000000000003,3.6000000000000005,0.444,2.3538461538461535,4.707692307692307,0.5,0.571,0.7388307692307693,1.1076923076923078,0.667,0.0,8.03076923076923,8.03076923076923,3.6000000000000005,0.0,1.9384615384615385,1.9384615384615385,6.369230769230769,10.246153846153847
7523,C,5.142857142857142,10.160278745644598,0.6296864111498258,0.08991184248817634,0.5444291394371789,0.16514884302689162,5.100459930313589,10.160278745644598,0.502,0.502,2.3199303135888503,3.3867595818815333,0.685,4.390243902439025,8.02787456445993,12.418118466898957,1.1289198606271778,0.8780487804878049,1.6306620209059235,1.5052264808362368,3.3867595818815333,12.543554006968641
1658,PG,5.525581395348837,12.55813953488372,0.7417674418604635,0.17748837209302326,0.6697674418604651,0.265,5.397320930232546,11.888372093023255,0.453999999999999,0.451,2.136893023255814,3.013953488372093,0.709,2.344186046511628,7.199999999999999,9.544186046511628,4.855813953488371,2.009302325581395,0.6697674418604651,2.8465116279069766,3.181395348837209,13.562790697674417
9242,C,3.3962264150943398,6.226415094339623,0.6113207547169811,0.08991184248817634,0.5444291394371789,0.16514884302689162,3.3622641509433966,6.226415094339623,0.54,0.54,1.566566037735849,2.490566037735849,0.629,3.1698113207547167,5.09433962264151,8.264150943396226,0.6792452830188679,0.9056603773584906,4.981132075471698,1.2452830188679245,3.9622641509433962,8.264150943396226
3503,PG,5.491525423728814,12.40677966101695,0.45355932203389837,1.0022033898305085,2.745762711864407,0.365,4.540677966101695,9.661016949152543,0.47,0.487,2.092372881355932,2.542372881355932,0.823,0.8135593220338984,3.2542372881355934,4.067796610169491,6.610169491525424,1.5254237288135595,0.4067796610169492,2.745762711864407,2.542372881355932,14.237288135593221
9017,C,4.432835820895522,8.194029850746269,0.7267164179104478,0.0,0.5444291394371789,0.0,4.441164179104478,8.194029850746269,0.542,0.541,1.8166567164179108,2.82089552238806,0.644,3.223880597014925,7.119402985074626,10.208955223880595,0.4029850746268656,0.6716417910447761,3.08955223880597,1.3432835820895521,4.432835820895522,10.746268656716417
1421,PF,4.601503759398495,10.556390977443609,1.1936842105263157,2.2412030075187968,6.2255639097744355,0.36,2.4079398496240603,4.330827067669173,0.556,0.546,1.0962406015037593,1.3533834586466165,0.81,3.248120300751879,5.684210526315789,8.932330827067668,1.894736842105263,0.5413533834586466,0.2706766917293233,1.0827067669172932,4.330827067669173,12.721804511278195
11871,SG,5.981873111782477,13.051359516616314,0.49486404833836856,0.25232628398791435,1.0876132930513596,0.231999999999999,5.6827794561933525,11.963746223564954,0.475,0.465,2.0229607250755284,2.6102719033232624,0.775,1.1963746223564955,4.56797583081571,5.764350453172205,5.764350453172205,0.9788519637462235,0.9788519637462235,2.719033232628399,2.8277945619335347,14.247734138972808
823,C,4.595744680851063,10.53191489361702,0.8214893617021276,0.08991184248817634,0.5444291394371789,0.16514884302689162,4.518191489361702,10.53191489361702,0.429,0.429,3.3497234042553194,4.021276595744681,0.833,2.872340425531915,6.8936170212765955,9.76595744680851,1.1489361702127658,1.1489361702127658,1.9148936170212765,1.7234042553191489,4.9787234042553195,12.446808510638297
