FG,FGA,FG_per,3P,3PA,3P_per,2P,2PA,2P_per,eFG_per,FT,FTA,FT_per,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
3.8139534883720927,9.581395348837209,0.36930232558139536,0.947720930232558,3.3488372093023253,0.283,2.890790697674418,6.325581395348836,0.457,0.446,3.5767441860465112,4.651162790697674,0.769,1.2093023255813953,3.3488372093023253,4.558139534883721,2.4186046511627906,1.7674418604651159,0.4651162790697674,1.3953488372093021,1.4883720930232558,12.186046511627906
7.578947368421051,16.736842105263158,0.4768421052631568,1.6446315789473687,4.421052631578948,0.372,5.936210526315788,12.315789473684209,0.482,0.502,4.6431578947368415,5.789473684210526,0.802,0.6315789473684209,3.6842105263157894,4.2105263157894735,6.421052631578947,2.1052631578947367,0.6315789473684209,3.6842105263157894,2.5263157894736836,21.473684210526315
7.257294429708221,16.137931034482758,0.42970822281167104,1.807448275862069,4.9655172413793105,0.364,5.498737400530503,11.267904509283818,0.488,0.506,4.884350132625994,5.9204244031830235,0.825,0.7639257294429708,2.0053050397877983,2.7692307692307687,4.201591511936339,1.2413793103448276,0.286472148541114,2.5782493368700266,2.0053050397877983,21.29442970822281
2.2890173410404624,4.161849710982659,1.1361849710982659,0.08991184248817634,0.5444291394371789,0.16514884302689162,2.2723699421965318,4.161849710982659,0.546,0.546,1.1653179190751444,1.6647398843930636,0.7,2.2890173410404624,6.242774566473988,8.53179190751445,0.6242774566473988,0.6242774566473988,2.497109826589595,1.4566473988439306,4.578034682080925,5.826589595375722
5.0,10.0,1.2349999999999999,0.192,1.0,0.192,4.779,9.0,0.531,0.504,2.623999999999996,4.0,0.655999999999999,1.4999999999999998,2.5,4.0,2.25,1.4999999999999998,1.25,2.0,4.749999999999999,12.75
5.005347593582888,11.743315508021391,0.8297326203208556,0.5128556149732606,1.540106951871658,0.332999999999999,4.5506310160427805,10.203208556149733,0.446,0.452999999999999,2.6639999999999997,3.2727272727272725,0.814,1.732620320855615,2.502673796791444,4.042780748663102,1.1550802139037433,0.3850267379679145,0.5775401069518716,2.1176470588235294,4.812834224598931,13.28342245989305
2.3563636363636364,5.367272727272727,0.5851636363636363,0.08991184248817634,0.5444291394371789,0.16514884302689162,2.399170909090909,5.367272727272727,0.447,0.447,1.540014545454545,2.225454545454545,0.692,2.3563636363636364,4.581818181818182,6.938181818181818,0.6545454545454545,0.5236363636363637,3.272727272727273,1.1781818181818182,3.796363636363636,6.283636363636363
5.046728971962617,11.77570093457944,1.4635514018691589,0.6570841121495304,2.355140186915888,0.278999999999999,4.342205607476636,9.08411214953271,0.478,0.465,2.5162990654205606,3.02803738317757,0.831,0.6728971962616823,2.0186915887850465,2.6915887850467293,8.747663551401871,1.3457943925233646,0.0,4.037383177570093,3.7009345794392527,13.457943925233646
5.586206896551724,10.862068965517242,1.6044827586206898,0.15517241379310345,0.3103448275862069,0.5,5.455241379310345,10.551724137931034,0.517,0.521,3.565241379310345,4.9655172413793105,0.718,2.4827586206896552,4.655172413793103,7.137931034482759,1.5517241379310345,0.9310344827586207,1.2413793103448276,3.4137931034482762,4.655172413793103,14.89655172413793
4.7172413793103445,12.041379310344826,0.48413793103448277,0.4518620689655172,1.2413793103448276,0.364,4.244399999999989,10.799999999999999,0.392999999999999,0.409,2.0203448275862073,2.6068965517241383,0.775,1.2413793103448276,4.344827586206897,5.586206896551724,2.3586206896551722,1.2413793103448276,0.37241379310344824,1.8620689655172413,2.3586206896551722,11.917241379310344
6.196721311475411,13.278688524590164,0.6860655737704919,0.0,0.5444291394371789,0.0,6.187868852459017,13.278688524590164,0.466,0.465,5.253049180327868,6.3442622950819665,0.828,3.3934426229508197,3.9836065573770494,7.3770491803278695,1.4754098360655739,0.5901639344262296,0.2950819672131148,2.3606557377049184,3.0983606557377055,17.704918032786885
3.28421052631579,7.831578947368421,0.5242105263157895,1.0246736842105233,3.0315789473684207,0.337999999999999,2.222399999999995,4.8,0.462999999999999,0.48,1.4005894736842106,1.768421052631579,0.792,2.0210526315789474,5.557894736842106,7.578947368421052,1.642105263157895,1.894736842105263,0.25263157894736843,1.1368421052631579,3.1578947368421053,8.842105263157896
5.002724795640327,13.34059945504087,0.37177111716621253,1.5659509536784741,5.100817438692098,0.307,3.4602179836512255,8.141689373297002,0.425,0.439,1.4127302452316073,1.8637602179836508,0.758,0.88283378746594,3.6294277929155316,4.610354223433243,5.6893732970027235,2.0599455040871937,0.19618528610354222,2.3542234332425065,1.2752043596730245,13.046321525885558
